Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
2026-05-28 19:49:00,73491.34,73502.23,73491.34,73502.22,1.0312,2026-05-28 19:49:59.999,75794.9426425,262,0.87245,64126.4652175
2026-05-28 19:50:00,73502.22,73505.83,73488.58,73505.31,10.85715,2026-05-28 19:50:59.999,797949.4094176,1696,3.70229,272090.4078515
2026-05-28 19:51:00,73505.31,73525.32,73505.31,73525.31,7.46853,2026-05-28 19:51:59.999,549024.8073464,1275,5.61438,412726.3969068
2026-05-28 19:52:00,73525.31,73525.32,73480.72,73480.73,6.44357,2026-05-28 19:52:59.999,473595.3388316,2274,1.23793,90977.28989
2026-05-28 19:53:00,73480.72,73511.29,73396.04,73400.48,47.03149,2026-05-28 19:53:59.999,3455260.5756316,3645,6.06242,445382.0190418
2026-05-28 19:54:00,73400.48,73465.68,73392.68,73464.95,21.078,2026-05-28 19:54:59.999,1547270.4724809,2392,11.59781,851360.2483255
2026-05-28 19:55:00,73464.95,73486.5,73460.0,73460.01,14.04163,2026-05-28 19:55:59.999,1031804.423906,1920,2.96925,218182.4807628
2026-05-28 19:56:00,73460.0,73460.01,73430.0,73430.0,8.5701,2026-05-28 19:56:59.999,629405.3024469,1347,2.12151,155814.6940672
2026-05-28 19:57:00,73430.0,73434.45,73425.63,73434.44,8.69986,2026-05-28 19:57:59.999,638804.6666148,1620,2.39809,176086.1102163
2026-05-28 19:58:00,73434.44,73473.21,73434.44,73473.21,4.79073,2026-05-28 19:58:59.999,351889.0550772,1354,4.75318,349130.7609545
2026-05-28 19:59:00,73473.21,73474.25,73381.81,73419.32,30.43035,2026-05-28 19:59:59.999,2234156.5622437,5216,4.15335,304899.6589015
2026-05-28 20:00:00,73419.31,73444.94,73414.04,73440.67,14.05095,2026-05-28 20:00:59.999,1031697.4946475,2484,11.66845,856746.8706452
2026-05-28 20:01:00,73440.67,73440.67,73382.34,73413.99,8.35102,2026-05-28 20:01:59.999,613029.3702907,3334,2.36745,173745.5332827
2026-05-28 20:02:00,73413.99,73413.99,73369.99,73369.99,13.83225,2026-05-28 20:02:59.999,1015134.9411193,2387,3.23913,237707.4810281
2026-05-28 20:03:00,73370.0,73388.01,73356.67,73356.68,7.69059,2026-05-28 20:03:59.999,564272.1087949,2201,4.45332,326755.2579998
2026-05-28 20:04:00,73356.68,73360.82,73332.04,73360.82,8.35003,2026-05-28 20:04:59.999,612448.3471484,2526,4.20399,308359.2618552
2026-05-28 20:05:00,73360.82,73370.92,73336.0,73340.9,7.53038,2026-05-28 20:05:59.999,552317.2442731,1596,4.1178,302023.4636461
2026-05-28 20:06:00,73340.89,73340.9,73324.66,73324.67,3.77078,2026-05-28 20:06:59.999,276508.4382658,758,0.3783,27740.7277868
2026-05-28 20:07:00,73324.67,73338.83,73304.58,73318.84,7.1572,2026-05-28 20:07:59.999,524811.4039259,2526,5.22206,382919.2752353
2026-05-28 20:08:00,73318.84,73318.84,73266.66,73271.2,8.85943,2026-05-28 20:08:59.999,649281.649719,2285,0.72153,52881.3258112
2026-05-28 20:09:00,73271.2,73323.31,73241.48,73321.3,22.23141,2026-05-28 20:09:59.999,1628978.7731459,4731,15.79645,1157415.8093423
2026-05-28 20:10:00,73321.29,73326.01,73303.47,73326.0,7.3214,2026-05-28 20:10:59.999,536746.3881388,1783,3.3755,247453.8762588
2026-05-28 20:11:00,73326.01,73541.72,73326.0,73486.5,75.66442,2026-05-28 20:11:59.999,5558065.7264242,5782,49.62893,3644814.6937214
2026-05-28 20:12:00,73486.49,73486.49,73449.12,73449.13,4.65021,2026-05-28 20:12:59.999,341585.9210606,876,0.15266,11214.5581996
2026-05-28 20:13:00,73449.12,73449.13,73422.14,73422.14,5.8924,2026-05-28 20:13:59.999,432750.2968093,1401,2.39028,175543.1735959
2026-05-28 20:14:00,73422.14,73443.82,73422.13,73443.82,5.71679,2026-05-28 20:14:59.999,419751.2697186,750,5.57804,409563.025293
2026-05-28 20:15:00,73443.81,73455.03,73440.0,73455.02,3.04173,2026-05-28 20:15:59.999,223392.5600549,850,2.37681,174559.2509527
2026-05-28 20:16:00,73455.03,73474.61,73455.02,73474.6,3.39197,2026-05-28 20:16:59.999,249178.0449132,745,3.20362,235340.1537548
2026-05-28 20:17:00,73474.6,73488.01,73455.89,73488.0,3.57471,2026-05-28 20:17:59.999,262618.1437816,1606,2.50706,184179.6072406
2026-05-28 20:18:00,73488.0,73541.37,73478.0,73541.36,5.81632,2026-05-28 20:18:59.999,427478.7673166,2335,4.99781,367319.5255999
2026-05-28 20:19:00,73541.36,73573.77,73541.36,73570.0,11.60694,2026-05-28 20:19:59.999,853785.0873858,2826,8.04628,591825.8142444
2026-05-28 20:20:00,73570.0,73600.94,73570.0,73600.94,2.53554,2026-05-28 20:20:59.999,186556.3645078,1278,2.41681,177820.8849568
2026-05-28 20:21:00,73600.94,73634.01,73590.0,73606.01,9.77278,2026-05-28 20:21:59.999,719308.0674597,3172,8.1691,601259.6179163
2026-05-28 20:22:00,73606.01,73640.91,73606.0,73634.96,4.38536,2026-05-28 20:22:59.999,322855.8466586,1559,3.49991,257655.8391
2026-05-28 20:23:00,73634.96,73634.96,73607.91,73607.91,4.65555,2026-05-28 20:23:59.999,342736.8403266,1104,0.14021,10322.245946
2026-05-28 20:24:00,73607.91,73607.92,73598.38,73598.38,2.18896,2026-05-28 20:24:59.999,161114.9390844,501,0.29337,21594.1244902
2026-05-28 20:25:00,73598.39,73626.99,73598.38,73623.87,4.88507,2026-05-28 20:25:59.999,359577.4999934,1388,3.48946,256836.4041176
2026-05-28 20:26:00,73623.86,73623.87,73592.39,73592.4,8.88674,2026-05-28 20:26:59.999,654041.6071729,848,1.93022,142051.429573
2026-05-28 20:27:00,73592.39,73632.06,73592.39,73628.73,7.31031,2026-05-28 20:27:59.999,538104.0364512,1455,5.90118,434349.4164878
2026-05-28 20:28:00,73628.73,73661.37,73628.73,73661.37,4.96204,2026-05-28 20:28:59.999,365391.4831168,1292,4.68618,345077.9275885
2026-05-28 20:29:00,73661.36,73668.61,73644.07,73647.4,8.02691,2026-05-28 20:29:59.999,591234.17944,1454,3.51598,258981.2283016
2026-05-28 20:30:00,73647.39,73678.37,73647.39,73656.43,12.66914,2026-05-28 20:30:59.999,933225.4026618,2409,6.83304,503332.688685
2026-05-28 20:31:00,73656.43,73656.43,73618.38,73650.63,7.1163,2026-05-28 20:31:59.999,523956.8366573,1990,3.21678,236830.8753769
2026-05-28 20:32:00,73650.64,73678.19,73650.63,73658.0,3.73923,2026-05-28 20:32:59.999,275447.3973963,1289,2.48913,183354.6375265
2026-05-28 20:33:00,73658.0,73658.01,73655.6,73655.61,3.06228,2026-05-28 20:33:59.999,225556.1966271,318,1.13057,83274.0704457
2026-05-28 20:34:00,73655.61,73669.99,73626.1,73626.1,7.72523,2026-05-28 20:34:59.999,569056.6193408,1832,2.29219,168839.5493272
